'famid' 'e1' 'e2' 'e3' 'e4' 'e5' 'e6' 'e7' 'e8' 'e9' 'e10' 'e11' 'e12' 'e13' 'e14' 'e15' 'e16' 'e17' 'e18' 'a1' 'a2' 'a3' 'a4' 'a5' 'a6' 'a7' 'a8' 'a9' 'a10' 'a11' 'a12' 'a13' 'a14' 'a15' 'a16' 'a17' 'a18'
4935042 0.887 1.822 NA NA NA NA NA NA 0.135 NA NA NA NA NA 2.118 NA NA NA 42.987 42.987 NA NA NA NA NA NA 52.171 NA NA NA NA NA 18.621 NA NA NA
4935072 0.927 -0.404 NA 1.433 NA 1.443 0.583 NA NA NA NA NA NA NA NA NA NA NA 25.645 25.645 NA 53.39 NA 23.688 21.907 NA NA NA NA NA NA NA NA NA NA NA
4935312 -0.533 NA NA NA 0.08 NA NA NA NA NA NA NA NA NA NA NA NA NA 71.792 NA NA NA 69.614 NA NA NA NA NA NA NA NA NA NA NA NA NA
4935333 -0.17 1.324 NA NA NA NA NA NA NA 0.498 NA NA NA NA NA NA NA NA 29.647 29.647 NA NA NA NA NA NA NA 27.868 NA NA NA NA NA NA NA NA
4936602 0.868 1.277 NA NA 0.025 0.46 NA NA -0.205 NA 0.301 NA NA NA NA NA NA NA 64.164 64.164 NA NA 60.365 58.778 NA NA 71.067 NA 32.697 NA NA NA NA NA NA NA
4936647 -0.767 0.321 NA NA NA NA NA NA -2.156 NA NA NA -0.586 NA NA NA NA NA 69.013 69.013 NA NA NA NA NA NA 72.997 NA NA NA 36.755 NA NA NA NA NA
4937104 -0.97 0.046 0.662 0.146 NA NA -0.628 -0.845 NA NA NA NA NA NA NA NA NA NA 31.736 31.736 53.527 49.873 NA NA 27.798 29.364 NA NA NA NA NA NA NA NA NA NA
4937626 -1.57 -0.45 NA -0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22.462 22.462 NA 42.301 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4938417 0.171 1.21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 69.292 69.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4938445 0.87 0.567 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 63.952 63.952 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4938449 -0.807 -0.314 -0.196 -0.144 -1.46 NA NA NA -1.054 NA NA NA NA NA NA NA NA NA 19.646 19.646 45.047 47.518 22.954 NA NA NA 24.733 NA NA NA NA NA NA NA NA NA
4938528 0.513 1.442 NA NA NA NA NA NA NA NA 0.977 NA 0.587 NA NA NA NA NA 38.748 38.748 NA NA NA NA NA NA NA NA 19.617 NA 19.359 NA NA NA NA NA
4938717 -2.329 -0.776 NA NA NA NA -1.139 NA -0.118 NA -0.332 NA NA NA NA NA NA NA 55.813 55.813 NA NA NA NA 59.202 NA 63.486 NA 32.899 NA NA NA NA NA NA NA
4939401 -1.014 0.035 NA -1.119 -0.012 NA NA NA NA 1.03 NA NA NA NA NA NA NA NA 29.563 29.563 NA 62.091 31.566 NA NA NA NA 34.113 NA NA NA NA NA NA NA NA
4939423 0.666 0.739 NA 0.569 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 47.383 47.383 NA 65.107 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4939455 -0.231 0.383 NA NA NA NA NA NA NA NA NA NA NA NA -0.155 NA 1.161 NA 59.431 59.431 NA NA NA NA NA NA NA NA NA NA NA NA 31.301 NA 39.699 NA
4940078 0.916 NA NA NA NA NA NA NA NA NA -1.208 NA NA NA NA NA NA NA 71.815 NA NA NA NA NA NA NA NA NA 54.963 NA NA NA NA NA NA NA
4940122 -1.203 -1.079 NA NA -0.32 NA NA NA 0.641 NA NA NA NA NA NA NA NA NA 49.109 49.109 NA NA 55.319 NA NA NA 48.963 NA NA NA NA NA NA NA NA NA
4940913 -2.958 -1.253 NA NA -1.474 NA NA NA 0.605 NA NA NA NA NA NA NA NA NA 33.362 33.362 NA NA 30.966 NA NA NA 41.983 NA NA NA NA NA NA NA NA NA
4941399 2.057 0.188 NA NA -0.184 NA NA NA NA NA NA NA NA NA NA NA NA NA 61.867 61.867 NA NA 66.696 NA NA NA NA NA NA NA NA NA NA NA NA NA
4941619 -1.134 -0.798 NA -0.634 NA NA -1.78 NA NA NA NA NA NA NA NA NA NA NA 38.494 38.494 NA 64.39 NA NA 42.357 NA NA NA NA NA NA NA NA NA NA NA
4941792 0.752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 73.33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4942071 0.378 -0.261 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.934 31.934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4942763 1.53 1.012 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52.634 52.634 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4942827 1.068 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 78.131 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4943593 -0.916 NA NA NA NA NA -0.405 NA NA NA NA NA NA NA NA NA NA NA 79.72 NA NA NA NA NA 78.338 NA NA NA NA NA NA NA NA NA NA NA
4943660 0.831 0.832 -0.731 NA NA NA NA NA NA 1.191 NA NA NA NA NA NA NA NA 32.327 32.327 70.664 NA NA NA NA NA NA 34.533 NA NA NA NA NA NA NA NA
4943760 -1.225 -0.395 -2.157 NA -1.194 NA NA NA NA NA NA NA NA NA NA NA NA NA 23.701 23.701 41.701 NA 20.67 NA NA NA NA NA NA NA NA NA NA NA NA NA
4943816 1.142 0.676 NA -0.191 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.722 21.722 NA 44.652 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4944368 -0.766 0.326 NA 0.278 NA NA NA NA NA -0.265 NA NA NA NA NA NA NA NA 34.361 34.361 NA 62.271 NA NA NA NA NA 40.173 NA NA NA NA NA NA NA NA
4944539 -0.066 0.869 NA -1.063 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29.572 29.572 NA 54.166 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4944694 -0.671 0.042 0.1 -1.418 -1.242 NA -0.859 NA NA NA NA NA NA NA NA NA NA NA 23.575 23.575 47.626 40.283 25.63 NA 17.168 NA NA NA NA NA NA NA NA NA NA NA
4944703 1.239 1.383 NA 1.442 NA NA 1.216 NA NA 0.289 NA NA -0.051 NA NA NA NA NA 52.406 52.406 NA 74.378 NA NA 53.926 NA NA 53.308 NA NA 27.173 NA NA NA NA NA
4944741 -1.972 -1.287 -0.646 NA NA NA -1.134 -2.737 NA -0.023 NA NA NA NA NA NA NA NA 33.3 33.3 59.312 NA NA NA 37.101 35.934 NA 31.318 NA NA NA NA NA NA NA NA
4944787 -3.926 NA NA NA -2.06 NA -2.61 NA NA NA NA NA -1.547 NA NA NA NA NA 77.349 NA NA NA 79.006 NA 83.475 NA NA NA NA NA 44.522 NA NA NA NA NA
