'famid' 'e1' 'e2' 'e3' 'e4' 'e5' 'e6' 'e7' 'e8' 'e9' 'e10' 'e11' 'e12' 'e13' 'e14' 'e15' 'e16' 'e17' 'e18' 'a1' 'a2' 'a3' 'a4' 'a5' 'a6' 'a7' 'a8' 'a9' 'a10' 'a11' 'a12' 'a13' 'a14' 'a15' 'a16' 'a17' 'a18'
4935234 -1.043 NA NA NA NA NA NA NA NA NA NA NA -0.727 NA NA NA NA NA 65.321 NA NA NA NA NA NA NA NA NA NA NA 49.054 NA NA NA NA NA
4935275 NA -0.159 NA NA NA NA NA NA NA -0.29 NA NA NA NA NA NA NA NA NA 73.197 NA NA NA NA NA NA NA 77.655 NA NA NA NA NA NA NA NA
4935677 0.212 0.833 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24.629 24.629 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4936367 0.224 -1.273 NA NA NA NA NA NA 0.586 NA NA NA NA NA NA NA NA -1.691 54.324 54.324 NA NA NA NA NA NA 59.574 NA NA NA NA NA NA NA NA 26.636
4936666 1.021 2.113 NA 0.375 NA NA -0.851 0.625 NA 1.524 NA NA NA NA NA NA NA NA 25.678 25.678 NA 55.895 NA NA 27.034 32.947 NA 24.53 NA NA NA NA NA NA NA NA
4936831 1.53 1.834 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45.888 45.888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4936967 0.202 -1.004 -1.605 0.953 -0.306 1.036 NA NA NA -0.825 NA NA NA 1.452 NA NA NA NA 42.376 42.376 65.685 63.439 37.933 40.937 NA NA NA 41.451 NA NA NA 19.381 NA NA NA NA
4937076 -0.442 -0.641 NA NA -0.245 NA NA NA NA NA NA NA NA NA NA NA NA NA 70.579 70.579 NA NA 65.668 NA NA NA NA NA NA NA NA NA NA NA NA NA
4937846 -0.342 0.774 -0.267 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 41.98 41.98 83.954 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4937853 -0.907 -1.488 -1.261 -1.77 NA NA NA NA NA 2.238 NA NA NA NA NA NA NA NA 26.151 26.151 59.056 60.238 NA NA NA NA NA 22.878 NA NA NA NA NA NA NA NA
4937969 -1.288 0.088 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.727 NA 69.943 69.943 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 48.77 NA
4938160 -0.503 -0.606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27.064 27.064 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4938164 0.564 -0.613 0.491 0.226 1.172 NA -0.569 NA NA 0.619 NA NA NA NA NA NA NA NA 25.865 25.865 51.035 48.081 28.178 NA 22.749 NA NA 31.556 NA NA NA NA NA NA NA NA
4938197 2.022 1.622 NA NA 0.423 NA NA NA NA 0.862 NA NA NA NA NA NA NA NA 40.652 40.652 NA NA 37.689 NA NA NA NA 44.905 NA NA NA NA NA NA NA NA
4938249 0.408 NA NA NA NA NA NA NA NA NA NA NA -0.54 NA NA NA NA NA 65.267 NA NA NA NA NA NA NA NA NA NA NA 47.203 NA NA NA NA NA
4938595 0.974 -0.763 NA NA NA NA -0.16 -0.204 1.305 NA -0.217 NA NA 0.936 NA NA NA NA 58.142 58.142 NA NA NA NA 55.081 59.187 65.387 NA 27.282 NA NA 36.604 NA NA NA NA
4938915 -0.673 -0.438 NA NA NA NA NA NA NA NA NA NA NA -0.906 NA NA NA NA 68.918 68.918 NA NA NA NA NA NA NA NA NA NA NA 48.897 NA NA NA NA
4939267 -1.563 -1.393 NA NA NA -1.836 NA NA NA NA NA NA NA NA NA NA NA NA 61.398 61.398 NA NA NA 69.371 NA NA NA NA NA NA NA NA NA NA NA NA
